id,name,sort_name,type,gender,country,life_span_begin,life_span_end,disambiguation,score
89ad4ac3-39f7-470e-963a-56509c546377,Various Artists,Various Artists,Other,,,,,add compilations to this artist,100
125ec42a-7229-4250-afc5-e057484327fe,[unknown],[unknown],Other,not applicable,XW,,,"Special Purpose Artist – Do not add releases here, if possible.",96
24f1766e-9635-4d58-a4d4-9413f9f98a4c,Johann Sebastian Bach,"Bach, Johann Sebastian",Person,male,DE,1685-03-21,1750-07-28,German Baroque period composer & musician,95
70248960-cb53-4ea4-943a-edb18f7d336f,Bruce Springsteen,"Springsteen, Bruce",Person,male,US,1949-09-23,,,92
b972f589-fb0e-474e-b64a-803b0364fa75,Wolfgang Amadeus Mozart,"Mozart, Wolfgang Amadeus",Person,male,AT,1756-01-27,1791-12-05,classical composer,91
1f9df192-a621-4f54-8850-2c5373b7eac9,Ludwig van Beethoven,"Beethoven, Ludwig van",Person,male,DE,1770-12-17,1827-03-26,German composer,90
eec63d3c-3b81-4ad4-b1e4-7c147d4d2b61,[no artist],[no artist],Other,not applicable,,,,Special Purpose Artist,89
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,"Beatles, The",Group,,GB,1960,1970-04-10,"UK rock band, “The Fab Four”",87
d6652e7b-33fe-49ef-8336-4c863b4f996f,The E Street Band,"E Street Band, The",Group,,US,1972-10,,,86
27870d47-bb98-42d1-bf2b-c7e972e6befc,George Frideric Handel,"Handel, George Frideric",Person,male,GB,1685-02-23,1759-04-14,German‐British baroque composer,86
01809552-4f87-45b0-afff-2c6f0730a3be,Elvis Presley,"Presley, Elvis",Person,male,US,1935-01-08,1977-08-16,“The King of Rock and Roll”,86
b071f9fa-14b0-4217-8e97-eb41da73f598,The Rolling Stones,"Rolling Stones, The",Group,,GB,1962,,,86
ad79836d-9849-44df-8789-180bbc823f3c,Antonio Vivaldi,"Vivaldi, Antonio",Person,male,IT,1678-03-04,1741-07-28,Italian baroque composer and violinist,86
72c536dc-7137-4477-a521-567eeb840fa8,Bob Dylan,"Dylan, Bob",Person,male,US,1941-05-24,,,85
569c0d90-28dd-413b-83e4-aaa7c27e667b,J. K. Rowling,"Rowling, J. K.",Person,female,GB,1965-07-31,,English novelist,84
83b9cbe7-9857-49e2-ab8e-b57b01038103,Pearl Jam,Pearl Jam,Group,,US,1990,,,84
e01646f2-2a04-450d-8bf2-0d993082e058,Phish,Phish,Group,,US,1983,,,84
c130b0fb-5dce-449d-9f40-1437f889f7fe,Joseph Haydn,"Haydn, Joseph",Person,male,AT,1732-03-31,1809-05-31,composer,84
09ff1fe8-d61c-4b98-bb82-18487c74d7b7,Fryderyk Chopin,"Chopin, Fryderyk",Person,male,PL,1810-02-22,1849-10-17,composer,84
6faa7ca7-0d99-4a5e-bfa6-1fd5037520c6,Grateful Dead,Grateful Dead,Group,,US,1965,1995,,84
197450cd-0124-4164-b723-3c22dd16494d,Frank Sinatra,"Sinatra, Frank",Person,male,US,1915-12-12,1998-05-14,"American singer and actor, “Ol’ Blue Eyes”",83
f91e3a88-24ee-4563-8963-fab73d2765ed,Franz Schubert,"Schubert, Franz",Person,male,AT,1797-01-31,1828-11-19,composer,83
a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,U2,Group,,IE,1976,,Irish rock band,83
c70d12a2-24fe-4f83-a6e6-57d84f8efb51,Johannes Brahms,"Brahms, Johannes",Person,male,DE,1833-05-07,1897-04-03,German composer,83
9ddd7abc-9e1b-471d-8031-583bc6bc8be9,Пётр Ильич Чайковский,"Tchaikovsky, Pyotr Ilyich",Person,male,RU,1840-05-07,1893-11-06,Russian romantic composer,83
80a8851f-444c-4539-892b-ad2a49292aa9,[language instruction],[language instruction],Other,not applicable,,,,special purpose artist,83
3cd3882c-00f8-4362-a0c2-ad89ed248533,Robert Schumann,"Schumann, Robert",Person,male,DE,1810-06-08,1856-07-29,German classical composer,82
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,Metallica,Metallica,Group,,US,1981-10-28,,,82
a4ac255f-9775-4c16-8642-7f51502e45dd,Stephen King,"King, Stephen",Person,male,US,1947-09-21,,author,82
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,Pink Floyd,Group,,,1965,2014,,82
a16e47f5-aa54-47fe-87e4-bb8af91a9fdd,Ennio Morricone,"Morricone, Ennio",Person,male,IT,1928-11-10,2020-07-06,Italian classical and score composer,82
f1bedf1f-4445-4651-9c35-f4a3f3860a13,Giuseppe Verdi,"Verdi, Giuseppe",Person,male,IT,1813-10-10,1901-01-27,Italian opera composer,82
